
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.609 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.593 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.593 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.515 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.536 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.571 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.517 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.543 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.588 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.506 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.537 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.574 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.519 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.700 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.519 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.603 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.604 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.594 ms
64 bytes from 10.0.100.129: icmp_seq=53 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=54 ttl=60 time=0.540 ms
64 bytes from 10.0.100.129: icmp_seq=55 ttl=60 time=0.597 ms
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.512 ms
64 bytes from 10.0.100.129: icmp_seq=57 ttl=60 time=0.543 ms
