PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.494 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.492 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.450 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.578 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.618 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59000ms
rtt min/avg/max/mdev = 0.381/0.540/0.696/0.063 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.636 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.496 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.625 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.531 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.511 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.530 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.668 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.446 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.397 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.606 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.631 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.512 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.548 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.575 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.639 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.506 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.384 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.480 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.590 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.605 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.478 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.548 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.605 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.486 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.658 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.363 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.375 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.591 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.589 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.569 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.610 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.611 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.691 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.462 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.713 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.708 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.601 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.584 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.505 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.589 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.600 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.562 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.637 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.326 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.436 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.608 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.610 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.602 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.576 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.600 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.603 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.513 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.319 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.469 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.485 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58998ms
rtt min/avg/max/mdev = 0.319/0.548/0.713/0.093 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.626 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.609 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.452 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.490 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.577 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.587 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.776 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.325 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.593 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.570 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.475 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.587 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.503 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.556 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.461 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.585 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.613 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.459 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.517 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.599 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.643 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.585 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.483 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.484 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.597 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.613 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.354 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.587 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.429 ms
