PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.410 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.525 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.518 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.449 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.557 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.477 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.423 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.524 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.496 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.480 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.494 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.422 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.496 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.514 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.524 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.521 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.610 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.442 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.514 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.519 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.519 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.518 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.476 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.476 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.517 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.478 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.550 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.456 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.478 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.562 ms
